x,y,z
43.267157410820495,452.7108414461069,a
40.46724061434277,477.7648146805048,a
-9.087462250437703,439.57597897385244,a
55.5942502917305,458.6324193429758,a
41.11662999672639,490.14013095283747,a
-24.94498076555484,460.54470408421884,a
37.760289971338295,470.12841782401006,a
29.956722666832064,384.37526507150835,a
37.79531692121516,447.9495539131968,a
-0.4328924585320202,436.32721241890243,a
7.078186962691136,447.92375294385926,a
-2.138548832761357,463.1416191127619,a
22.03120963479106,418.5741131505026,a
6.1585344378976385,416.0656754950639,a
5.45517582938964,409.45857514942804,a
11.813549720401507,384.69727544064926,a
46.06262139884786,488.9549481269229,a
39.96760953713752,396.2922044951252,a
38.15571201427922,411.81599298381235,a
36.94341370315642,406.36582677250965,a
-0.6918014720002503,385.1044520387512,a
36.73621079095863,367.1979765028107,a
3.1681025902069084,394.7460628283005,a
46.65496370548234,397.0767174030941,a
52.06054951796392,334.50703370208515,a
58.01657535486023,394.15592064171364,a
57.29786098023517,452.59571439150903,a
56.92136843200105,425.01569249851815,a
67.61024067181802,449.10514334493655,a
62.76043686665116,442.19600239367855,a
95.70829113906103,459.4859829496589,a
95.71634318963413,454.85216404262184,a
159.85620107223818,436.60940367132804,a
131.5718273410589,424.3850935973125,a
131.78972868978974,405.33865506390555,a
173.33413508451864,473.76454329372575,a
123.15976954272472,513.6622034678928,a
117.09336290845447,467.34054729272174,a
70.0751379218831,446.6399741879571,a
84.41478280288837,488.19943423733844,a
107.62591090630436,504.74652867550066,a
139.23063498934204,496.43721305015686,a
106.88636936295369,466.67684249040684,a
95.27124568557292,483.97838412530916,a
77.43363618706331,411.98317884064886,a
-2.9535356749658774,397.0945412720913,a
28.417017055390644,427.80823807223385,a
27.20881067114141,384.26382825436536,a
48.17650011971887,414.94073443022074,a
15.935085048090993,405.813484412448,a
-2.591479802517423,468.1621493352633,a
6.906833968493341,375.5006716922714,a
60.93151433659818,383.9869481983733,a
38.63486871332876,431.23840571403946,a
23.341179261185857,420.56635346921087,a
53.86173569124287,415.7439217642236,a
10.887798793440727,365.1355329233494,a
54.61157176313223,393.19407180623125,a
85.02166146164406,429.87546868377103,a
47.508343018698014,407.1757448369618,a
93.97779104806767,408.38491337966605,a
132.4846735296786,372.99510256805365,a
135.06412698845062,463.8182572979054,a
164.39832585171476,451.17543476072774,a
139.8975399120617,399.74347816105603,a
180.22400711977363,439.6508297543892,a
201.67345242338686,445.72520309048593,a
186.64861250151841,471.2121987684821,a
186.89620001320822,439.35121105886475,a
197.42852578491204,457.21053951833017,a
227.59187777626056,425.13447961174694,a
212.71123802620014,501.94949260439637,a
228.0940510314549,475.3399513710084,a
128.96519131093498,465.26674045983503,a
127.49470485832833,450.75624970096527,a
176.60685853608013,442.85751697053286,a
105.95379032739325,382.7428405822785,a
137.1439492447829,387.2035076445436,a
95.27582925086175,368.3129240055147,a
26.88220677580403,370.86486427697196,a
39.127584676100014,358.61034753707526,a
29.767889105112598,311.3854517094244,a
11.75365041062153,392.4717276410916,a
25.229409535227965,381.9751067275272,a
40.044101264042425,375.8807526597864,a
6.556250967004782,355.2110743340246,a
-10.210470625755356,369.44967660943075,a
41.06609539742692,351.9057998442514,a
44.50742191336052,430.00195417219015,a
78.55191511687278,421.9638056876555,a
94.04477050092373,402.8573857781518,a
159.49099527749766,390.36561900118727,a
204.84324098724002,444.11451725520527,a
187.98822525516852,441.15334295973344,a
156.04209424559167,415.1926675096285,a
153.23888338478685,456.4555597628105,a
263.2983774594917,443.77316397212076,a
151.93496606735803,476.30658814033296,a
212.8083714980085,460.9085980909891,a
211.56580146155963,436.38877477375075,a
194.6962241539996,509.98249450967177,a
217.19479042836033,460.4135478456736,a
261.9263351619392,437.643444538066,a
172.67013938107036,416.49959426208636,a
187.94172694963865,449.97004598190324,a
156.93913729536834,390.84220255364926,a
135.33258279377276,422.38384897118874,a
72.04197008699833,380.41817438833414,a
8.731902971427694,353.58128165047253,a
-21.236033524507874,313.61809584024445,a
-5.340781729446633,352.89219272675473,a
38.054068825734106,329.2030268193016,a
-28.23304188904046,345.71186392985214,a
-28.588883452390213,355.91037069415677,a
42.87220093670209,330.16898561619996,a
-27.442517170205335,322.1782527776867,a
33.46513251956495,410.3156846326631,a
22.36216584895282,393.05799529695383,a
43.347675755289856,367.6608862461004,a
65.1256950689801,400.86872855744974,a
36.82173451417324,389.52808535195527,a
117.00979412009018,418.2518490745976,a
140.75282951566209,472.0869147439664,a
119.94265204457133,448.9562820106107,a
192.1806877876415,411.6794384676846,a
118.49125377424477,414.56006715885997,a
143.90095080331872,423.07952184601487,a
104.16111562999134,437.2981346278088,a
125.20654935364776,423.73389473872345,a
150.05845569578346,449.0741956719915,a
106.36455547524403,399.82965931621936,a
98.66145072752268,348.93421370122894,a
12.24090370931468,360.54888000571077,a
17.812609869124877,344.27772625996727,a
-1.006173259970872,317.0834809505592,a
7.444210343000864,322.72940715527506,a
5.537460971941528,311.84564928886164,a
3.676747837370364,289.66128225245365,a
-8.046850340507149,307.55545971857333,a
26.703373265947267,327.60628211759126,a
37.032709859985474,352.9590147455623,a
87.70813798779983,380.81763866880704,a
101.11993725478308,340.53701584134575,a
110.50949471126967,388.0803475606445,a
188.8675523945307,408.2100290276447,a
166.01723852015817,449.6439146538344,a
196.14820093909128,434.60818015970426,a
146.65548395165132,423.91283732032883,a
203.65658359545773,456.55248612877193,a
202.84264480598307,412.98249602306805,a
208.55571089302893,409.04489814833187,a
164.42088595335744,430.76692352078544,a
173.57372275440417,407.1594907642293,a
179.07369774213598,420.02494830400684,a
118.52253137242272,414.56059404776545,a
49.63530299214762,417.46686024343774,a
59.765191212936216,425.906780978992,a
22.19794613428656,419.1956480009813,a
14.960283130075434,406.17918338984214,a
59.7813792195523,379.278514686094,a
8.500192605006164,419.27687519931044,a
15.489776219843293,468.9262781755141,a
-7.9442555644573325,465.76053968275914,a
25.587840998166595,440.779951027417,a
71.5720297268054,454.11145470578873,a
57.860838286466176,491.62953919242113,a
123.31602673033069,488.5965512965912,a
147.40539469543455,409.11325275167485,a
130.09166199988425,464.71849097253437,a
166.12329757248412,439.2145625149791,a
150.4657740428939,448.0987713777526,a
176.5738424663201,482.2381108415824,a
160.56231868325426,497.0195662359762,a
122.92746912893159,462.4823162032547,a
98.6891368640566,487.88461004046474,a
57.646154505278204,415.91827323801397,a
66.05066931632008,427.2941165528778,a
74.10865466677888,445.3198998599847,a
95.97702859791211,424.9982431107578,a
126.60217646643684,390.31550608052333,a
56.29230734401049,362.08677108403026,a
73.46614406202713,360.34236849928345,a
53.2673261630717,406.8601675672319,a
